Net:0.103234630017, Trade:1.16351893578, Cost:1.06028430576, Trades/Day:16.6166666667, et:1, leb:3, bs:4, ueb:9,
Net:0.0995811542546, Trade:1.14345625855, Cost:1.04387510429, Trades/Day:16.05, et:1, leb:3, bs:5, ueb:9,
Net:0.100882297067, Trade:1.14179469046, Cost:1.0409123934, Trades/Day:15.9166666667, et:1, leb:3, bs:6, ueb:9,
Net:0.0993662421946, Trade:1.13889526623, Cost:1.03952902404, Trades/Day:15.8666666667, et:1, leb:3, bs:7, ueb:9,
Net:0.0993662421946, Trade:1.13889526623, Cost:1.03952902404, Trades/Day:15.8666666667, et:1, leb:3, bs:8, ueb:9,
Net:0.0993662421946, Trade:1.13889526623, Cost:1.03952902404, Trades/Day:15.8666666667, et:1, leb:3, bs:9, ueb:9,
Net:0.0993662421946, Trade:1.13889526623, Cost:1.03952902404, Trades/Day:15.8666666667, et:1, leb:3, bs:10, ueb:9,
Net:0.0993662421946, Trade:1.13889526623, Cost:1.03952902404, Trades/Day:15.8666666667, et:1, leb:3, bs:11, ueb:9,
Net:0.0993662421946, Trade:1.13889526623, Cost:1.03952902404, Trades/Day:15.8666666667, et:1, leb:3, bs:12, ueb:9,
Net:0.0581993287823, Trade:1.1419933909, Cost:1.08379406211, Trades/Day:17.6833333333, et:2, leb:3, bs:2, ueb:9,
Net:0.0993725089752, Trade:1.1402113206, Cost:1.04083881163, Trades/Day:15.9333333333, et:2, leb:3, bs:3, ueb:9,
Net:0.0993662421946, Trade:1.13889526623, Cost:1.03952902404, Trades/Day:15.8666666667, et:2, leb:3, bs:4, ueb:9,
Net:0.0993662421946, Trade:1.13889526623, Cost:1.03952902404, Trades/Day:15.8666666667, et:2, leb:3, bs:5, ueb:9,
Net:0.0993662421946, Trade:1.13889526623, Cost:1.03952902404, Trades/Day:15.8666666667, et:2, leb:3, bs:6, ueb:9,
Net:0.0993662421946, Trade:1.13889526623, Cost:1.03952902404, Trades/Day:15.8666666667, et:2, leb:3, bs:7, ueb:9,
Net:0.0993662421946, Trade:1.13889526623, Cost:1.03952902404, Trades/Day:15.8666666667, et:2, leb:3, bs:8, ueb:9,
Net:0.0993662421946, Trade:1.13889526623, Cost:1.03952902404, Trades/Day:15.8666666667, et:2, leb:3, bs:9, ueb:9,
Net:0.0993662421946, Trade:1.13889526623, Cost:1.03952902404, Trades/Day:15.8666666667, et:2, leb:3, bs:10, ueb:9,
Net:0.0993662421946, Trade:1.13889526623, Cost:1.03952902404, Trades/Day:15.8666666667, et:2, leb:3, bs:11, ueb:9,
Net:0.0993662421946, Trade:1.13889526623, Cost:1.03952902404, Trades/Day:15.8666666667, et:2, leb:3, bs:12, ueb:9,
Net:0.10181446354, Trade:1.14522808091, Cost:1.04341361737, Trades/Day:16.1666666667, et:3, leb:3, bs:1, ueb:9,
Net:0.0993662421946, Trade:1.13889526623, Cost:1.03952902404, Trades/Day:15.8666666667, et:3, leb:3, bs:2, ueb:9,
Net:0.0993662421946, Trade:1.13889526623, Cost:1.03952902404, Trades/Day:15.8666666667, et:3, leb:3, bs:3, ueb:9,
Net:0.0993662421946, Trade:1.13889526623, Cost:1.03952902404, Trades/Day:15.8666666667, et:3, leb:3, bs:4, ueb:9,
Net:0.0993662421946, Trade:1.13889526623, Cost:1.03952902404, Trades/Day:15.8666666667, et:3, leb:3, bs:5, ueb:9,
