Net:-3.51961617901, Trade:2.14703414997, Cost:5.66665032898, Trades/Day:153.416666667, et:-1, leb:2, bs:2, ueb:6,
Net:-3.06041357308, Trade:2.2720689696, Cost:5.33248254268, Trades/Day:137.733333333, et:-1, leb:2, bs:3, ueb:6,
Net:-2.84373272343, Trade:2.23738238233, Cost:5.08111510575, Trades/Day:125.5, et:-1, leb:2, bs:4, ueb:6,
Net:-2.6437192423, Trade:2.22642140346, Cost:4.87014064576, Trades/Day:116.0, et:-1, leb:2, bs:5, ueb:6,
Net:-2.41448770382, Trade:2.25833623786, Cost:4.67282394168, Trades/Day:107.433333333, et:-1, leb:2, bs:6, ueb:6,
Net:-2.26758983136, Trade:2.27733863214, Cost:4.5449284635, Trades/Day:101.183333333, et:-1, leb:2, bs:7, ueb:6,
Net:-2.10266056308, Trade:2.31534733789, Cost:4.41800790097, Trades/Day:95.7333333333, et:-1, leb:2, bs:8, ueb:6,
Net:-2.00892041619, Trade:2.29503695574, Cost:4.30395737193, Trades/Day:90.5, et:-1, leb:2, bs:9, ueb:6,
Net:-1.93638187901, Trade:2.29426317343, Cost:4.23064505244, Trades/Day:87.25, et:-1, leb:2, bs:10, ueb:6,
Net:-1.84187544111, Trade:2.29374279516, Cost:4.13561823627, Trades/Day:83.3, et:-1, leb:2, bs:11, ueb:6,
Net:-1.73907700659, Trade:2.31957884732, Cost:4.05865585392, Trades/Day:80.1666666667, et:-1, leb:2, bs:12, ueb:6,
Net:-3.5035448382, Trade:2.17766418303, Cost:5.68120902123, Trades/Day:154.633333333, et:0, leb:2, bs:1, ueb:6,
Net:-2.07096596372, Trade:2.63835453451, Cost:4.70932049823, Trades/Day:109.9, et:0, leb:2, bs:2, ueb:6,
Net:-1.50595564895, Trade:2.50553287995, Cost:4.0114885289, Trades/Day:78.65, et:0, leb:2, bs:3, ueb:6,
