Net:1.78370185192, Trade:5.5776899274, Cost:3.79398807548, Trades/Day:48.6890756303, et:1, leb:2, bs:5, ueb:5,
Net:1.78229357062, Trade:5.57546656318, Cost:3.79317299257, Trades/Day:48.6554621849, et:1, leb:2, bs:6, ueb:5,
Net:1.78229357062, Trade:5.57546656318, Cost:3.79317299257, Trades/Day:48.6554621849, et:1, leb:2, bs:7, ueb:5,
Net:1.78229357062, Trade:5.57546656318, Cost:3.79317299257, Trades/Day:48.6554621849, et:1, leb:2, bs:8, ueb:5,
Net:1.78229357062, Trade:5.57546656318, Cost:3.79317299257, Trades/Day:48.6554621849, et:1, leb:2, bs:9, ueb:5,
Net:1.78229357062, Trade:5.57546656318, Cost:3.79317299257, Trades/Day:48.6554621849, et:1, leb:2, bs:10, ueb:5,
Net:1.78229357062, Trade:5.57546656318, Cost:3.79317299257, Trades/Day:48.6554621849, et:1, leb:2, bs:11, ueb:5,
Net:1.78229357062, Trade:5.57546656318, Cost:3.79317299257, Trades/Day:48.6554621849, et:1, leb:2, bs:12, ueb:5,
Net:1.88203995625, Trade:5.72460758832, Cost:3.84256763207, Trades/Day:50.7731092437, et:2, leb:2, bs:1, ueb:5,
Net:1.78792180051, Trade:5.58321814716, Cost:3.79529634665, Trades/Day:48.756302521, et:2, leb:2, bs:2, ueb:5,
Net:1.78337816812, Trade:5.57703155536, Cost:3.79365338724, Trades/Day:48.6722689076, et:2, leb:2, bs:3, ueb:5,
Net:1.78229357062, Trade:5.57546656318, Cost:3.79317299257, Trades/Day:48.6554621849, et:2, leb:2, bs:4, ueb:5,
Net:1.78229357062, Trade:5.57546656318, Cost:3.79317299257, Trades/Day:48.6554621849, et:2, leb:2, bs:5, ueb:5,
Net:1.78229357062, Trade:5.57546656318, Cost:3.79317299257, Trades/Day:48.6554621849, et:2, leb:2, bs:6, ueb:5,
Net:1.78229357062, Trade:5.57546656318, Cost:3.79317299257, Trades/Day:48.6554621849, et:2, leb:2, bs:7, ueb:5,
Net:1.78229357062, Trade:5.57546656318, Cost:3.79317299257, Trades/Day:48.6554621849, et:2, leb:2, bs:8, ueb:5,
Net:1.78229357062, Trade:5.57546656318, Cost:3.79317299257, Trades/Day:48.6554621849, et:2, leb:2, bs:9, ueb:5,
Net:1.78229357062, Trade:5.57546656318, Cost:3.79317299257, Trades/Day:48.6554621849, et:2, leb:2, bs:10, ueb:5,
Net:1.78229357062, Trade:5.57546656318, Cost:3.79317299257, Trades/Day:48.6554621849, et:2, leb:2, bs:11, ueb:5,
Net:1.78229357062, Trade:5.57546656318, Cost:3.79317299257, Trades/Day:48.6554621849, et:2, leb:2, bs:12, ueb:5,
Net:0.199792382741, Trade:5.50139969066, Cost:5.30160730792, Trades/Day:104.579831933, et:-2, leb:2, bs:9, ueb:6,
Net:0.282072454376, Trade:5.48190558679, Cost:5.19983313241, Trades/Day:100.630252101, et:-2, leb:2, bs:10, ueb:6,
Net:0.432104384724, Trade:5.53397098724, Cost:5.10186660252, Trades/Day:97.0084033613, et:-2, leb:2, bs:11, ueb:6,
Net:0.563060516022, Trade:5.57788917027, Cost:5.01482865425, Trades/Day:93.7647058824, et:-2, leb:2, bs:12, ueb:6,
Net:0.0234356084318, Trade:5.60262081241, Cost:5.57918520398, Trades/Day:114.739495798, et:-1, leb:2, bs:5, ueb:6,
Net:0.288175743655, Trade:5.6531605826, Cost:5.36498483894, Trades/Day:106.478991597, et:-1, leb:2, bs:6, ueb:6,
Net:0.582931943247, Trade:5.75487218484, Cost:5.17194024159, Trades/Day:99.5882352941, et:-1, leb:2, bs:7, ueb:6,
Net:0.759782494356, Trade:5.77936125571, Cost:5.01957876135, Trades/Day:93.7058823529, et:-1, leb:2, bs:8, ueb:6,
Net:0.924193704859, Trade:5.80892609201, Cost:4.88473238715, Trades/Day:88.7983193277, et:-1, leb:2, bs:9, ueb:6,
Net:1.00534465736, Trade:5.78190490006, Cost:4.7765602427, Trades/Day:84.6806722689, et:-1, leb:2, bs:10, ueb:6,
Net:1.1495841421, Trade:5.83441154371, Cost:4.68482740161, Trades/Day:81.0588235294, et:-1, leb:2, bs:11, ueb:6,
Net:1.22317811478, Trade:5.83643699036, Cost:4.61325887558, Trades/Day:78.1932773109, et:-1, leb:2, bs:12, ueb:6,
Net:0.626924674249, Trade:6.14895406746, Cost:5.52202939321, Trades/Day:113.487394958, et:0, leb:2, bs:2, ueb:6,
Net:1.59268347343, Trade:6.2617556668, Cost:4.66907219337, Trades/Day:81.5882352941, et:0, leb:2, bs:3, ueb:6,
